X	         Y      	Time	Street	        Offense	Date     	Tract
1348656.471	399538.5342	32874	100 BONIFAY ST	ROBBERY	1/1/1990	160600
1359951.481	410726.1273	32874	320 SCHENLEY RD	ROBBERY	1/1/1990	140100
1357049.25	418429.9175	32874	4779 LIBERTY AV	ROBBERY	1/1/1990	80900
1361745.729	419343.2848	32874	5600 PENN AV	AGGRAVATED ASSAULT	1/1/1990	111500
1353029.519	402359.7471	32875	3247 ARLINGTON AV	ROBBERY	1/2/1990	160400
1351340.433	410399.55	32875	183 BURROWS ST	AGGRAVATED ASSAULT	1/2/1990	51000
1351174.047	410440.8089	32875	220 BURROWS ST	ROBBERY	1/2/1990	40200
1348102.398	412548.4207	32875	2017 CENTRE AV	ROBBERY	1/2/1990	50100
1348176.524	412807.903	32875	2100 WYLIE AV	RAPE	1/2/1990	50100
1348176.524	412807.903	32875	2100 WYLIE AV	ROBBERY	1/2/1990	50100
1347891.491	412839.7694	32875	18 DAVENPORT ST	AGGRAVATED ASSAULT	1/2/1990	50100
1348016.777	414371.3723	32875	900 WHITESIDE RD	AGGRAVATED ASSAULT	1/2/1990	50900
1361170.103	417108.7059	32875	5700 CENTRE AV	ROBBERY	1/2/1990	70500
1357053.079	418023.9992	32875	4808 SCIOTA ST	ROBBERY	1/2/1990	80400
1363624.069	418434.4007	32875	6100 PENN AV	ROBBERY	1/2/1990	111500
1360172.801	419642.5322	32875	5400 PENN AV	AGGRAVATED ASSAULT	1/2/1990	80900
1346005.636	411360.5258	32876	1400 CENTRE AV	ROBBERY	1/3/1990	20100
1348909.156	413189.8419	32876	2200 WYLIE AV	MURDER/MANSLAUGHTER	1/3/1990	50100
1373633.389	414194.3643	32876	500 CORA ST	AGGRAVATED ASSAULT	1/3/1990	130400
1373633.389	414194.3643	32876	500 CORA ST	ROBBERY	1/3/1990	130400
1349934.718	415117.5729	32876	2547 CHAUNCEY DR	AGGRAVATED ASSAULT	1/3/1990	50900
1350936.899	415286.8451	32876	2800 BEDFORD AV	RAPE	1/3/1990	50100
1341388.485	415782.9927	32876	800 UNION PL	RAPE	1/3/1990	220400
1341388.485	415782.9927	32876	800 UNION PL	ROBBERY	1/3/1990	220400
1341249.957	415880.6288	32876	255 E OHIO ST	AGGRAVATED ASSAULT	1/3/1990	220400
1341110.006	416295.0625	32876	801 UNION PL	ROBBERY	1/3/1990	220400
1343874.448	417014.7288	32876	819 CHESTNUT ST	ROBBERY	1/3/1990	230400
1367569.582	418296.1041	32876	500 LINCOLN AV	ROBBERY	1/3/1990	120800
1367569.582	418296.1041	32876	500 LINCOLN AV	ROBBERY	1/3/1990	120800
1367569.582	418296.1041	32876	500 LINCOLN AV	ROBBERY	1/3/1990	120800
1361989.427	404292.4099	32877	4250 MURRAY AV	ROBBERY	1/4/1990	151700
1350511.252	405118.1512	32877	5 KOSCIUSKO WY	ROBBERY	1/4/1990	160800
1373761.365	413784.9999	32877	500 ROSEDALE ST	ROBBERY	1/4/1990	130400
1373125.428	414806.0931	32877	7700 MULFORD ST	ROBBERY	1/4/1990	130400
1379246.705	415121.0466	32877	2227 WILNER DR	AGGRAVATED ASSAULT	1/4/1990	130600
1366925.974	420173.9289	32877	600 LARIMER AV	ROBBERY	1/4/1990	120400
1342861.278	412568.5811	32878	900 PENN AV	ROBBERY	1/5/1990	20100
1372483.48	414669.537	32878	514 N BRADDOCK AV	ROBBERY	1/5/1990	130400
1360336.354	415560.7402	32878	5437 ELLSWORTH AV	ROBBERY	1/5/1990	70900
1361634.23	415662.0171	32878	702 SUMMERLEA ST	ROBBERY	1/5/1990	70500
1343844.033	418118.0833	32878	946 ITIN ST	ROBBERY	1/5/1990	230400
1343844.033	418118.0833	32878	946 ITIN ST	ROBBERY	1/5/1990	230400
1370151.4	419637.7653	32878	6900 APPLE AV	ROBBERY	1/5/1990	120300
1339858.982	421379.5248	32878	2400 PERRYSVILLE AV	AGGRAVATED ASSAULT	1/5/1990	261400
1342160.247	424277.449	32878	315 PENFORT ST	AGGRAVATED ASSAULT	1/5/1990	260900
1342160.247	424277.449	32878	315 PENFORT ST	ROBBERY	1/5/1990	260900
1341659.055	426778.071	32878	300 MT. PLEASANT RD	AGGRAVATED ASSAULT	1/5/1990	260900
1350667.83	405045.6017	32879	2612 JOSEPHINE ST	ROBBERY	1/6/1990	160800
1340515.683	407015.9285	32879	75 WYOMING ST	ROBBERY	1/6/1990	191400
1341790.155	411339.012	32879	200 FORBES AV	ROBBERY	1/6/1990	20100
1352716.503	411605.203	32879	3500 TERRACE ST	ROBBERY	1/6/1990	40200
1371474.338	411687.2152	32879	425 EAST END AV	AGGRAVATED ASSAULT	1/6/1990	140600
